,entity,to_search,snippet,address,coordinates,name_location,class,type
54,Museo Benaki,Museo Benaki,"['...Biblioteca del Museo Benaki ;...', '...Museo Benaki della civiltà greca con annessa ricchissima biblioteca ;...', '...Museo Benaki di arte e civiltà islamica ;...', '*...Museo Benaki (nuova sede) di via Pireos, sede di mostre specializzate di architettura moderna ;...', '*...Museo Benaki – Pinacoteca Chatzikyriakou-Gkika di via Kriezotou (Syntagma), dedicato alla generazione artistica degli anni trenta, con annessa biblioteca ;...']","museo Benaki, 1, Κουμπάρη, Κολωνάκι, Συνοικία Κολωνακίου, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 74, Grecia","{""coordinates"": [23.740345, 37.976031], ""type"": ""Point""}","museo Benaki, 1, Κουμπάρη, Κολωνάκι, Συνοικία Κολωνακίου, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 74, Grecia",tourism,museum
58,Syntagma,Syntagma,"['...Esposizioni archeologiche di Syntagma, Panepistimio, Evangelismos e Dafni, nelle omonime stazioni della metropolitana ;...', '*...Museo Benaki – Pinacoteca Chatzikyriakou-Gkika di via Kriezotou (Syntagma), dedicato alla generazione artistica degli anni trenta, con annessa biblioteca ;...', '*...1: 97\xa0570 (comprendente il centro di Atene con il cosiddetto triangolo commerciale: Syntagma, Kolonaki, Ilisia, Exarchia, Omonia, Monastiraki, Plaka e Koukaki) ;...']","ΣΥΝΤΑΓΜΑ, Πλατεία Συντάγματος, Ακαδημία, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Grecia","{""coordinates"": [23.734031, 37.976045], ""type"": ""Point""}","ΣΥΝΤΑΓΜΑ, Πλατεία Συντάγματος, Ακαδημία, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Grecia",highway,bus_stop
61,Iliou Melathron,Iliou Melathron,"[""*...Museo numismatico ospitato nell'Iliou Melathron, la residenza ateniese di Heinrich Schliemann, lo scopritore di Troia e di Micene....""]","Νομισματικό Μουσείο, 12, Ελευθερίου Βενιζέλου, Κολωνάκι, Συνοικία Κολωνακίου, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 71, Grecia","{""coordinates"": [23.735385, 37.977827], ""type"": ""Point""}","Νομισματικό Μουσείο, 12, Ελευθερίου Βενιζέλου, Κολωνάκι, Συνοικία Κολωνακίου, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 71, Grecia",tourism,museum
67,National Museum of Contemporary Art,National Museum of Contemporary Art,"[""...Nel marzo 2014 aprirà i battenti la nuova sede del Museo d'arte contemporanea, il National Museum of Contemporary Art, in Syngrou Avenue, nell'edificio rinnovato dello storico birrificio Fix....""]","Εθνικό Μουσείο Σύγχρονης Τέχνης, Καλλιρόης, Κυνοσάργους, Συνοικία Νέου Κόσμου, 2η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 117 43, Grecia","{""coordinates"": [23.725263, 37.963016], ""type"": ""Point""}","Εθνικό Μουσείο Σύγχρονης Τέχνης, Καλλιρόης, Κυνοσάργους, Συνοικία Νέου Κόσμου, 2η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 117 43, Grecia",tourism,museum
68,Syngrou Avenue,Syngrou Avenue,"[""*...Nel marzo 2014 aprirà i battenti la nuova sede del Museo d'arte contemporanea, il National Museum of Contemporary Art, in Syngrou Avenue, nell'edificio rinnovato dello storico birrificio Fix....""]","Ανδρέα Συγγρού, Κουκάκι, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 117 41, Grecia","{""coordinates"": [23.724514, 37.962918], ""type"": ""Point""}","Ανδρέα Συγγρού, Κουκάκι, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 117 41, Grecia",highway,trunk
69,Fix,Fix,"[""*...Nel marzo 2014 aprirà i battenti la nuova sede del Museo d'arte contemporanea, il National Museum of Contemporary Art, in Syngrou Avenue, nell'edificio rinnovato dello storico birrificio Fix....""]","Fix, 64, Ανδρέα Συγγρού, Γαργαρέττα, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 117 43, Grecia","{""coordinates"": [23.727242, 37.965208], ""type"": ""Point""}","Fix, 64, Ανδρέα Συγγρού, Γαργαρέττα, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 117 43, Grecia",tourism,hotel
70,Venizelos,Venizelos,"['...Venizelos"", Pireo-Atene-Corinto e Corinto-Aeroporto ""El....', '...Venizelos"")...', '*...Venizelos"")...', '...Venizelos;...']","Μουσείο ""Ελευθέριος Βενιζέλος"", Δεινοκράτους, Κολωνάκι, Συνοικία Κολωνακίου, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 115 21, Grecia","{""coordinates"": [23.751863, 37.980704], ""type"": ""Point""}","Μουσείο ""Ελευθέριος Βενιζέλος"", Δεινοκράτους, Κολωνάκι, Συνοικία Κολωνακίου, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 115 21, Grecia",tourism,museum
83,Attiki Odos,Attiki Odos,"[""*...A nord Attiki Odos, che collega Elefsina e l'autostrada per Corinto con l'Aeroporto El...."", ""...A est la tangenziale del monte Imetto (Hymettus Ring Road) che si snoda sulle pendici del monte Imetto con una lunga serie di gallerie e collega l'Attiki Odos con i sobborghi meridionali;..."", ""*...L'Aeroporto internazionale di Atene Elefthérios Venizélos è situato nel comune di Spata-Artemida, a circa 30\xa0km a est della capitale, ed è collegato al resto della città tramite metropolitana, ferrovia suburbana e la tangenziale Attiki Odos....""]","Μεταμόρφωση, Atene - Salonicco - Evzoni, Μεταμόρφωση, Δήμος Μεταμορφώσεως, Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 144 51, Grecia","{""coordinates"": [23.746804, 38.057387], ""type"": ""Point""}","Μεταμόρφωση, Atene - Salonicco - Evzoni, Μεταμόρφωση, Δήμος Μεταμορφώσεως, Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 144 51, Grecia",highway,motorway_junction
87,Larissis,Larissis,"['*...La città dispone di diverse stazioni ferroviarie, tra cui la stazione Larissis, situata nel quartiere di Kolos, attiva dal 1904 e gestita da OSE, la stazione ferroviaria del Pireo, e varie stazioni periferiche, come la stazione Paiania–Kantza....']","ΑΦΕΤΗΡΙΑ (ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ), Δομοκού, Κολωνός, 4η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 104 44, Grecia","{""coordinates"": [23.721111, 37.993313], ""type"": ""Point""}","ΑΦΕΤΗΡΙΑ (ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ), Δομοκού, Κολωνός, 4η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 104 44, Grecia",highway,bus_stop
90,Stadio Panathinaiko,Stadio Panathinaiko,"[""*...Stadio Panathinaiko, l'antico stadio olimpico, ricostruito nel 1895 per ospitare i Giochi olimpici del 1896....""]","Παναθηναϊκό Στάδιο, Άγρας, Συνοικία Παγκρατίου, 2η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 116 35, Grecia","{""coordinates"": [23.740398, 37.968436], ""type"": ""Point""}","Παναθηναϊκό Στάδιο, Άγρας, Συνοικία Παγκρατίου, 2η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 116 35, Grecia",tourism,attraction
