,entity,to_search,snippet,address,coordinates,name_location,class,type
32,Lugdunum,Lugdunum,"['*...Egli ne tracciò i confini con un aratro, sulla collina di Fourvière (Forum Vetus) e le diede il nome di Lugdunum, ossia ""fortezza del dio Lugus"", la suprema divinità dei Galli, probabilmente sul luogo di un precedente accampamento militare che era servito di base alla spedizione gallica di Cesare....', '*...Nacquero a Lugdunum gli imperatori Claudio, nel 10 a.C., e Caracalla, nel 188....', '...Nel 65 Lugdunum, in un solo giorno, venne pressoché distrutta dalle fiamme....']","Lugdunum, Place du Général Brosset, Bellecombe, Lyon 6e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69006, Francia","{""coordinates"": [4.858549, 45.766636], ""type"": ""Point""}","Lugdunum, Place du Général Brosset, Bellecombe, Lyon 6e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69006, Francia",building,office
33,Italia,Italia,"[""*...Lo sviluppo della città fu favorito dalla sua posizione, sulla via di accesso dall'Italia, alla confluenza della Saona (Arar) e del Rodano e dal suo statuto di colonia romana...."", ""*...Appartenne alla Lotaringia e al Sacro Romano Impero fino al XIV secolo, quando fu inserita nel regno di Francia e i re francesi ne fecero il centro delle loro attività rivolte verso l'Italia...."", ""*...Nazionale 6 verso l'Italia (Collegamento del Mont-Cenis, Alpi) e verso Parigi via Bourgogne al Nord...."", ""*...Nazionale 7 verso la valle del Rodano e l'Italia (Collegamento della Costa Azzurra) e verso Parigi via Bourbonnais al Nord....""]","B&B Italia, Rue Auguste Comte, Ainay, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.831082, 45.75488], ""type"": ""Point""}","B&B Italia, Rue Auguste Comte, Ainay, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",shop,furniture
44,rue Pierre-Valdo,rue Pierre-Valdo,"['*...Oggi, esiste una via a Lione che porta il suo nome, nel 5ème arrondissement (rue Pierre-Valdo)....']","Rue Pierre Valdo, Jeunet, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.793379, 45.749813], ""type"": ""Point""}","Rue Pierre Valdo, Jeunet, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",highway,tertiary
45,Hôtel de Ville,Hôtel de Ville,['*...Regnava la tolleranza e la città si abbellì con la costruzione del nuovo municipio (Hôtel de Ville)....'],"Hôtel de ville, Place de la Comédie, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69000, Francia","{""coordinates"": [4.834438, 45.76763], ""type"": ""Point""}","Hôtel de ville, Place de la Comédie, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69000, Francia",amenity,townhall
46,Hôtel Dieu,Hôtel Dieu,"['*...Nel XVIII secolo proseguì il periodo di tranquillità e si videro altre importanti costruzioni, come quelle di Soufflot (Hôtel Dieu e Loggia del Cambio)....']","Café Hôtel-Dieu, Place de l'Hôpital, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.83588, 45.759139], ""type"": ""Point""}","Café Hôtel-Dieu, Place de l'Hôpital, Bellecour, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",amenity,pub
51,Hôtel Terminus,Hôtel Terminus,"[""*...Il Museo della Resistenza, collocato nell'Hôtel Terminus, antica sede della Gestapo vicino alla sponda del fiume Rodano e accanto al quartiere universitario, rende conto della cronologia degli eventi della seconda guerra mondiale, della resistenza francese e delle persecuzioni antisemite;..."", '*...La storia dell\'Hôtel Terminus e di quello che fu chiamato ""il Boia di Lione"" è stata raccontata dal documentarista tedesco Marcel Ophüls nel film del 1988 Hôtel Terminus....']","Hôtel Terminus, Cours de Verdun Rambaud, Perrache, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.824725, 45.749386], ""type"": ""Point""}","Hôtel Terminus, Cours de Verdun Rambaud, Perrache, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",building,yes
52,Duchère,Duchère,"[""...La Duchère per accogliere i rimpatriati dall'Algeria (Pieds-Noirs), Mermoz, Rillieux...."", ""...IX arrondissement: Vaise, La Duchère, Saint-Rambert-l'Île-Barbe ....""]","Boulevard de la Duchère, Vaise, Lyon 9e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69009, Francia","{""coordinates"": [4.795175, 45.777308], ""type"": ""Point""}","Boulevard de la Duchère, Vaise, Lyon 9e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69009, Francia",highway,tertiary
55,Part-Dieu,Part-Dieu,"['...La modernizzazione venne attuata con grandi lavori urbanistici, come la costruzione di un quartiere affaristico a La Part-Dieu (oggi secondo CBD della Francia, dietro a Parigi La Defense), il tunnel che oltrepassa la collina di Fourvière e la costruzione della metropolitana (inaugurata nel 1978)....', '...La Part-Dieu secondo quartiere affaristico della Francia (e il suo grattacielo del Crédit Lyonnais)....', '...La torre del Crédit Lyonnais, o torre La Part-Dieu, chiamata ""la matita"" dai lionesi....', '...III arrondissement: La Part-Dieu, La Villette, Montchat ;...']","Rue de la Part-Dieu, Préfecture, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia","{""coordinates"": [4.841112, 45.75915], ""type"": ""Point""}","Rue de la Part-Dieu, Préfecture, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia",highway,cycleway
58,Presqu'île,Presqu'île,"[""...Il Rodano e la Saona, attraversati da numerosi ponti e passerelle; alla loro confluenza sorge il quartiere della Presqu'île....""]","Laverie Presqu'Île, Rue Sainte-Hélène, Ainay, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.830468, 45.754587], ""type"": ""Point""}","Laverie Presqu'Île, Rue Sainte-Hélène, Ainay, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",shop,laundry
63,place des Terreaux,place des Terreaux,"['...La città sorge alla confluenza del Rodano e della Saona ed è composta da un centro storico (Vieux Lyon, Fourvière, Saint Jean) e da un centro più moderno con la Place des terreaux, la Place Bellecour e la Rue de la République sulla Penisola, quartiere tra Rodano e Saona....', '*...Il municipio di Lione sulla place des Terreaux....', '...La place des Terreaux....', '*...La città sorge alla confluenza del Rodano e della Saona ed è composta da un centro storico (Vieux Lyon, Fourvière, Saint Jean) e da un centro più moderno con la Place des terreaux, la Place Bellecour e la Rue de la République sulla Penisola, quartiere tra Rodano e Saona....']","Place des Terreaux, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia","{""coordinates"": [4.833546, 45.767272], ""type"": ""Point""}","Place des Terreaux, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia",highway,tertiary
68,Halle,Halle,"['*...La Halle Tony Garnier, parte dello stadio Gerland trasformata in sala multiuso....']","Cours de Halle-De-Saxe, Rue Villeroy, Voltaire, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia","{""coordinates"": [4.8468, 45.755825], ""type"": ""Point""}","Cours de Halle-De-Saxe, Rue Villeroy, Voltaire, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia",shop,convenience
72,St Georges,St Georges,"['*...Chiesa di San Giorgio nel quartiere St Georges, vicino alla Place Benoît-Crépu ;...']","Saint-Georges, Quai Fulchiron, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.825809, 45.75754], ""type"": ""Point""}","Saint-Georges, Quai Fulchiron, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",highway,bus_stop
73,Place Benoît-Crépu,Place Benoît-Crépu,"['*...Chiesa di San Giorgio nel quartiere St Georges, vicino alla Place Benoît-Crépu ;...']","Place Benoît Crépu, Saint-Georges, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.826899, 45.758755], ""type"": ""Point""}","Place Benoît Crépu, Saint-Georges, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",highway,footway
77,École normale supérieure lettres et sciences humaines,École normale supérieure lettres et sciences humaines,"[""*...L'École normale supérieure lettres et sciences humaines (ENS-LSH), costruita e progettata da Henri Gaudin....""]","École Normale Supérieure de Lyon - Site René Descartes, 15, Parvis René Descartes, Le Bon Lait, Gerland, Lyon 7e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69342, Francia","{""coordinates"": [4.833242, 45.733217], ""type"": ""Point""}","École Normale Supérieure de Lyon - Site René Descartes, 15, Parvis René Descartes, Le Bon Lait, Gerland, Lyon 7e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69342, Francia",amenity,university
79,Sens,Sens,"['*...Daniel Buren - «Sens dessus dessous» - Installazione parcheggio Célestins, 1991....']","Sens', Place Hubert Mounier, Sainte-Blandine, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.823466, 45.741284], ""type"": ""Point""}","Sens', Place Hubert Mounier, Sainte-Blandine, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",building,construction
85,ECL,ECL,['*...École centrale de Lyon (ECL)...'],"Rails de l'ancien Barrage-écluse de la Mulatière, Quai Perrache, Confluence, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.818598, 45.727625], ""type"": ""Point""}","Rails de l'ancien Barrage-écluse de la Mulatière, Quai Perrache, Confluence, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",railway,disused
86,EPITA,EPITA,"[""*...École pour l'informatique et les techniques avancées (EPITA) ;...""]","Epita, 86, Boulevard Vivier-Merle, La Buire, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia","{""coordinates"": [4.858866, 45.754769], ""type"": ""Point""}","Epita, 86, Boulevard Vivier-Merle, La Buire, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia",amenity,college
100,St. Jean,St. Jean,"['*...Il Museo internazionale della miniatura - Su tre piani uno tra i più grandi al mondo, situato nel quartiere di St. Jean....']","Saint-Jean, Place Édouard Commette, Saint-Jean, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.82656, 45.760525], ""type"": ""Point""}","Saint-Jean, Place Édouard Commette, Saint-Jean, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",amenity,bicycle_rental
107,Lumières,Lumières,"[""...L'8 dicembre si celebra la Festa delle luci (Fête des Lumières)...."", ""*...A Lione sorgevano le officine fotografiche Lumières dove i geniali fratelli Lumière inventarono il cinematografo ed infatti il loro primo cortometraggio s'intitola L'uscita dalle officine Lumière....""]","Cave des Lumières, Rue Aimé Collomb, Préfecture, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia","{""coordinates"": [4.841943, 45.757063], ""type"": ""Point""}","Cave des Lumières, Rue Aimé Collomb, Préfecture, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia",shop,alcohol
110,Les Terreaux,Les Terreaux,"['*...I arrondissement: Pentes de la Croix-Rousse, Les Terreaux, Saint-Vincent ;...']","Lycée La Martinière Diderot - Site Terreaux - Les Augustins, Rue des Augustins, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia","{""coordinates"": [4.829998, 45.767791], ""type"": ""Point""}","Lycée La Martinière Diderot - Site Terreaux - Les Augustins, Rue des Augustins, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia",amenity,school
111,Saint-Vincent,Saint-Vincent,"['*...I arrondissement: Pentes de la Croix-Rousse, Les Terreaux, Saint-Vincent ;...']","Saint-Vincent, Quai Saint-Vincent, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia","{""coordinates"": [4.828024, 45.767935], ""type"": ""Point""}","Saint-Vincent, Quai Saint-Vincent, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia",highway,bus_stop
112,Ainay,Ainay,"[""...Basilica romanica di Saint-Martin d'Ainay ;..."", '*...II arrondissement: Cordeliers, Bellecour, Ainay, Perrache et Confluent ;...']","Ainay, Rue Vaubecour, Ainay, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia","{""coordinates"": [4.825935, 45.753521], ""type"": ""Point""}","Ainay, Rue Vaubecour, Ainay, Lyon 2e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69002, Francia",highway,bus_stop
113,Montchat,Montchat,"['*...III arrondissement: La Part-Dieu, La Villette, Montchat ;...']","Montchat Auto-Moto-École, Cours Docteur Long, Montchat, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia","{""coordinates"": [4.881704, 45.748709], ""type"": ""Point""}","Montchat Auto-Moto-École, Cours Docteur Long, Montchat, Lyon 3e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69003, Francia",amenity,driving_school
114,Saint-Clair,Saint-Clair,"['*...IV arrondissement: La Croix-Rousse, Saint-Clair ;...']","Quai André Lassagne, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia","{""coordinates"": [4.837895, 45.770545], ""type"": ""Point""}","Quai André Lassagne, Terreaux, Lyon 1er Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69001, Francia",highway,primary
115,Saint-Jean,Saint-Jean,"[""...La cattedrale primaziale di Saint-Jean-et-Saint-Étienne nella Vecchia Lione, dove tuttora a volte si segue il rito gallicano. L'arcivescovo di Lione è il vescovo dei Galli, primo vescovo di Francia...."", '*...V arrondissement: Saint-Jean - Saint-Paul - Saint-Georges (Vieux-Lyon), Saint-Just, Fourvière, Le Point-du-Jour ;...']","Saint-Jean, Place Édouard Commette, Saint-Jean, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.82656, 45.760525], ""type"": ""Point""}","Saint-Jean, Place Édouard Commette, Saint-Jean, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",amenity,bicycle_rental
116,Saint-Georges,Saint-Georges,"['*...V arrondissement: Saint-Jean - Saint-Paul - Saint-Georges (Vieux-Lyon), Saint-Just, Fourvière, Le Point-du-Jour ;...']","Saint-Georges, Quai Fulchiron, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.825809, 45.75754], ""type"": ""Point""}","Saint-Georges, Quai Fulchiron, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",highway,bus_stop
117,Vieux-Lyon,Vieux-Lyon,"['*...V arrondissement: Saint-Jean - Saint-Paul - Saint-Georges (Vieux-Lyon), Saint-Just, Fourvière, Le Point-du-Jour ;...']","Vieux Lyon, Quai Fulchiron, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.827755, 45.759468], ""type"": ""Point""}","Vieux Lyon, Quai Fulchiron, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",highway,bus_stop
118,Saint-Just,Saint-Just,"['*...V arrondissement: Saint-Jean - Saint-Paul - Saint-Georges (Vieux-Lyon), Saint-Just, Fourvière, Le Point-du-Jour ;...']","Saint-Just, Rue des Farges, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia","{""coordinates"": [4.818973, 45.756022], ""type"": ""Point""}","Saint-Just, Rue des Farges, Quarantaine, Lyon 5e Arrondissement, Lione, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Francia metropolitana, 69005, Francia",amenity,bicycle_rental
