regione Piemonte,"Regione Piemonte, Via Palazzo di Città, Centro, Circoscrizione 1, Torino, Piemonte, 10122, Italia",emergency,defibrillator,0.2101,"/toˈrino/ , ; Turin in piemontese [tyˈriŋ] , ) è un comune italiano di 844 056 abitanti (al 31 agosto 2022), quarto comune italiano per popolazione e capoluogo della regione Piemonte e dell'omonima città metropolitana. Cuore di un'area metropolitana che conta circa 1,7 milioni di abitanti, Torino è il terzo complesso economico-produttivo del Paese (insieme a Milano e Genova componeva il triangolo industriale negli anni del boom economico) e costituisce uno dei maggiori poli universitari, artistici, turistici, scientifici e culturali d'Italia."
Colle della Maddalena,"Colle della Maddalena, Torino, Piemonte, 10131, Italia",natural,peak,0.48764122278025945,"Il fiume Po accentua la divisione tra la parte collinare e quella, quasi pianeggiante, della città, collocata tra i 220 e i 280 metri s.l.m.; il punto più elevato del territorio comunale è il Colle della Maddalena, a 715 m s.l.m. , nei pressi del Faro della Vittoria."
Colle della Maddalena,"Colle della Maddalena, Torino, Piemonte, 10131, Italia",natural,peak,0.48764122278025945,"Torino ospita anche alberi esotici secolari come le sequoie costali ( Sequoia sempervirens ) dei parchi collinari di Villa Genero e Giacomo Leopardi, i numerosi esemplari di Noce del Caucaso ( Pterocarya fraxinifolia ) che costeggiano il Po e compaiono in parchi pubblici come i Giardini Cavour, il giardino Sambuy, i Giardini Reali Bassi (lungo Corso San Maurizio), il parco Millefonti. Due spettacolari esemplari di carpino bianco ( Carpinus betulus ) arricchiscono il grande Parco della Rimembranza che si dispiega lungo il Colle della Maddalena. Per Torino passa la Via Francigena, ramo del Moncenisio."
Faro della Vittoria,"Faro della Vittoria, Strada esterna della Vetta della Maddalena, Circoscrizione 8, Revigliasco, Torino, Piemonte, 10024, Italia",man_made,lighthouse,0.49324803174625986,"il punto più elevato del territorio comunale è il Colle della Maddalena, a 715 m s.l.m. , nei pressi del Faro della Vittoria. La città è al centro di un anfiteatro montuoso che ingloba alcune delle più belle vette alpine:"
Monviso,"Monviso, 19, Corso Eusebio Giambone, Lingotto, Circoscrizione 8, Torino, Piemonte, 10134, Italia",amenity,pharmacy,0.11010000000000002,"La città è al centro di un anfiteatro montuoso che ingloba alcune delle più belle vette alpine: il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana. Torino dista 57 km da Asti, 79 km da Vercelli, 84 km da Biella, 93 km da Alessandria, 96 km da Novara, 98 km da Cuneo, 155 km da Verbania."
Rocciamelone,"Rocciamelone, Revigliasco, Moncalieri, Torino, Piemonte, 10024, Italia",place,hamlet,0.36,"La città è al centro di un anfiteatro montuoso che ingloba alcune delle più belle vette alpine: il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana. Torino dista 57 km da Asti, 79 km da Vercelli, 84 km da Biella, 93 km da Alessandria, 96 km da Novara, 98 km da Cuneo, 155 km da Verbania."
Gran Paradiso,"Gran Paradiso, Via Val della Torre, Madonna di Campagna, Circoscrizione 5, Torino, Piemonte, 10149, Italia",building,apartments,0.2001,"La città è al centro di un anfiteatro montuoso che ingloba alcune delle più belle vette alpine: il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana. Torino dista 57 km da Asti, 79 km da Vercelli, 84 km da Biella, 93 km da Alessandria, 96 km da Novara, 98 km da Cuneo, 155 km da Verbania."
Colle del Moncenisio,"via Moncenisio, Colle del Fico, Carchitti, Palestrina, Roma Capitale, Lazio, 00036, Italia",highway,service,0.375,"Torino dista 57 km da Asti, 79 km da Vercelli, 84 km da Biella, 93 km da Alessandria, 96 km da Novara, 98 km da Cuneo, 155 km da Verbania. Il confine francese dista circa 70 km nei pressi del Colle del Moncenisio, mentre sono 206 i chilometri che separano Piazza Castello da Chambery, 222 da Nizza, 250 da Ginevra e 314 da Lione. Il 19 marzo 2016 l'UNESCO ha riconosciuto il parco del Po e la collina torinese come riserva della biosfera, mentre nel 2020 la FAO e l'Arbor Day Foundation hanno conferito alla città di Torino il riconoscimento di Tree City of the World 2019 ."
Colle del Moncenisio,"via Moncenisio, Colle del Fico, Carchitti, Palestrina, Roma Capitale, Lazio, 00036, Italia",highway,service,0.375,"Per Torino passa la Via Francigena, ramo del Moncenisio. L'itinerario, fra i preferiti nel Medioevo, valicato lo spartiacque Francia/Italia al Colle del Moncenisio, giunge dalla Valle di Susa terra delle grandi abbazie come Novalesa, Sacra di San Michele e Sant'Antonio di Ranverso e passando per Torino lungo il Parco Colletta tende a San Mauro Torinese e poi verso Chivasso e successivamente a Vercelli, dove si congiunge con l'altro ramo della Francigena, quella proveniente dal Colle del Gran San Bernardo. A partire dal secondo dopoguerra, in particolare nel decennio 1951-1961, la popolazione della città conobbe un'improvvisa e repentina espansione (306.000 abitanti in più nel 1961 rispetto al 1951), dovuta alla migrazione interna dal Mezzogiorno, dal Veneto e, seppur in misura minore, dalle vallate e dalle campagne di tutto il Piemonte, da dove la gente si spostava in cerca di lavoro nelle fabbriche cittadine (segnatamente la FIAT)."
Piazza Castello,"Piazza Castello, Centro, Circoscrizione 1, Torino, Piemonte, Italia",place,square,0.5224057754348258,"Torino dista 57 km da Asti, 79 km da Vercelli, 84 km da Biella, 93 km da Alessandria, 96 km da Novara, 98 km da Cuneo, 155 km da Verbania. Il confine francese dista circa 70 km nei pressi del Colle del Moncenisio, mentre sono 206 i chilometri che separano Piazza Castello da Chambery, 222 da Nizza, 250 da Ginevra e 314 da Lione. Il 19 marzo 2016 l'UNESCO ha riconosciuto il parco del Po e la collina torinese come riserva della biosfera, mentre nel 2020 la FAO e l'Arbor Day Foundation hanno conferito alla città di Torino il riconoscimento di Tree City of the World 2019 ."
Piazza Castello,"Piazza Castello, Centro, Circoscrizione 1, Torino, Piemonte, Italia",place,square,0.5224057754348258,"tratto delle mura romane nelle sale sotterranee del Palazzo dell'Accademia delle Scienze; vari resti di abitazioni di epoca imperiale, fra cui le tracce delle domus di via Bellezia, via Santa Chiara, via Bonelli, Piazza Castello, la necropoli nel sottosuolo di Piazza San Carlo e gli edifici pubblici di Piazza Emanuele Filiberto e Corso XI Febbraio."
Nizza,"Nizza, Via Valperga Caluso, San Salvario, Circoscrizione 8, Torino, Piemonte, 10125, Italia",railway,tram_stop,0.11010000000000002,"Torino dista 57 km da Asti, 79 km da Vercelli, 84 km da Biella, 93 km da Alessandria, 96 km da Novara, 98 km da Cuneo, 155 km da Verbania. Il confine francese dista circa 70 km nei pressi del Colle del Moncenisio, mentre sono 206 i chilometri che separano Piazza Castello da Chambery, 222 da Nizza, 250 da Ginevra e 314 da Lione. Il 19 marzo 2016 l'UNESCO ha riconosciuto il parco del Po e la collina torinese come riserva della biosfera, mentre nel 2020 la FAO e l'Arbor Day Foundation hanno conferito alla città di Torino il riconoscimento di Tree City of the World 2019 ."
Nizza,"Nizza, Via Valperga Caluso, San Salvario, Circoscrizione 8, Torino, Piemonte, 10125, Italia",railway,tram_stop,0.11010000000000002,"Nel 1765 Benedetto Alfieri ebbe l'incarico di rifare i portici di piazza Palazzo di Città mentre nel corso del XIX secolo si aggiunsero quelli dell'attuale piazza Vittorio Veneto, piazza Carlo Felice e piazza Statuto. Le stazioni ferroviarie di Porta Nuova e Porta Susa vennero congiunte con un percorso porticato attraverso via Nizza, via Sacchi, Corso Vittorio Emanuele II, Corso Vinzaglio e via Cernaia. Il portico che unisce piazza Castello con Piazza Vittorio Veneto attraverso via Po sul lato sinistro fu progettato in modo tale da proseguire anche nell'attraversamento delle vie per permettere al re di giungere fino al Po senza bagnarsi in caso di pioggia."
parco del Po,"Parco Naturale Regionale del Beigua, Genova, Urbe, Genova, Liguria, Italia",boundary,protected_area,0.5075723342298069,"Il confine francese dista circa 70 km nei pressi del Colle del Moncenisio, mentre sono 206 i chilometri che separano Piazza Castello da Chambery, 222 da Nizza, 250 da Ginevra e 314 da Lione. Il 19 marzo 2016 l'UNESCO ha riconosciuto il parco del Po e la collina torinese come riserva della biosfera, mentre nel 2020 la FAO e l'Arbor Day Foundation hanno conferito alla città di Torino il riconoscimento di Tree City of the World 2019 . Secondo la classificazione dei climi di Köppen, Torino appartiene alla fascia Cf:"
Porta Susa,"Porta Susa, Corso Bolzano, Centro, Circoscrizione 1, Torino, Piemonte, 10140, Italia",highway,bus_stop,0.2001,"Molto diversa la situazione nelle numerose zone collinari e prealpine, spesso più calde delle pianure di parecchi gradi e quasi sempre prive di ristagni freddi. Prendendo in esame i dati rilevati dall'Ufficio Idrografico del Po (presso Porta Susa), nel il periodo 1961-1990, si evince che, in città, la temperatura media annua è stata di 12,3 °C , con la minima, a gennaio, di 0,9 °C . I periodi più piovosi sono il trimestre da aprile a giugno, e il mese di ottobre;"
Porta Susa,"Porta Susa, Corso Bolzano, Centro, Circoscrizione 1, Torino, Piemonte, 10140, Italia",highway,bus_stop,0.2001,"Nel 1765 Benedetto Alfieri ebbe l'incarico di rifare i portici di piazza Palazzo di Città mentre nel corso del XIX secolo si aggiunsero quelli dell'attuale piazza Vittorio Veneto, piazza Carlo Felice e piazza Statuto. Le stazioni ferroviarie di Porta Nuova e Porta Susa vennero congiunte con un percorso porticato attraverso via Nizza, via Sacchi, Corso Vittorio Emanuele II, Corso Vinzaglio e via Cernaia. Il portico che unisce piazza Castello con Piazza Vittorio Veneto attraverso via Po sul lato sinistro fu progettato in modo tale da proseguire anche nell'attraversamento delle vie per permettere al re di giungere fino al Po senza bagnarsi in caso di pioggia."
Ottocento,"Ottocento, Via Giovanni Giolitti, Murassone, Dronero, Cuneo, Piemonte, Italia",amenity,restaurant,0.11010000000000002,"Il 13 settembre 2008 l'Osservatorio Meteorologico di Caselle Torinese, 14 km a nord-ovest di Torino, registrò una pioggia temporalesca di 220 mm in sei ore, quantitativo senza precedenti noti nella pianura torinese. L'ammontare delle precipitazioni annue, 833 mm, si è conservata sostanzialmente immutata dalla metà dell'Ottocento a oggi. Classificazione climatica:"
via Gallica,"Via Gallica, Rivoltella del Garda, Desenzano del Garda, Brescia, Lombardia, 25105, Italia",highway,residential,0.3,"Nel 28 a.C. il castrum fu eretto a colonia, col nome di Julia Augusta Taurinorum o, più semplicemente, Augusta Taurinorum . In epoca romana il territorio di Torino era il terminale di un'importante strada romana, la via Gallica . Nel 312 d.C., nei suoi dintorni, ebbe luogo la Battaglia di Torino, per la successione al trono imperiale, tra le truppe di Massenzio e quelle di Costantino I, che ne uscì vincitore."
Sicilia,"Sicilia, Miren-Kostanjevica, 5291, Slovenija",natural,sinkhole,0.30999999999999994,"La città e l'esercito sabaudo resistettero per centodiciassette giorni e respinsero così la violenta controffensiva francese. Nel 1713 i duchi di Savoia ottennero il titolo di re, prima di Sicilia e poi, in cambio della Sicilia, di Sardegna. In entrambi i casi tuttavia i due regni rimasero separati dal Ducato di Savoia, e quindi da Torino, trovandosi solamente in unione personale sotto il Casato dei Savoia."
Sardegna,"Sardegna, Via Litoranea, Pisa, Toscana, 56128, Italia",leisure,beach_resort,0.11010000000000002,"In entrambi i casi tuttavia i due regni rimasero separati dal Ducato di Savoia, e quindi da Torino, trovandosi solamente in unione personale sotto il Casato dei Savoia. La parentesi siciliana durò effettivamente molto poco (sette anni), mentre l'unione con la Sardegna rimase tale fino al 1847, allorché Carlo Alberto di Savoia concesse la cosiddetta Fusione perfetta fra i suoi domini e quindi Torino, anche formalmente, divenne la città capitale del Regno di Sardegna, anche se di fatto tutte le decisioni più importanti venivano già prese a Torino, anche per quanto riguardava la Sardegna. Il 26 giugno 1800 Torino ebbe una breve visita del vincitore della seconda campagna d'Italia, Napoleone Bonaparte, e poco dopo iniziarono i preparativi per l'annessione del Piemonte alla Francia."
Pian del Lot,"Pian del Lot, Circoscrizione 8, Torino, Piemonte, 10131, Italia",place,hamlet,0.55,"Nel 1943 ebbe inizio a Torino l'ondata di scioperi nella grande industria che coinvolse quasi tutta l'Italia settentrionale e segnò la ripresa del movimento antifascista. Dopo l'8 settembre Torino venne occupata dalle truppe naziste e repubblichine che si macchiarono di numerosi eccidi, come quello del Pian del Lot, esecuzioni e deportazioni. Furono altresì attive in città le formazioni partigiane dei Gruppi (GAP) e delle Squadre di azione patriottica (SAP)."
Partigiani,"Partigiani, Viale Primo Maggio, Centro, Circoscrizione 1, Torino, Piemonte, 10124, Italia",railway,tram_stop,0.11010000000000002,"Furono altresì attive in città le formazioni partigiane dei Gruppi (GAP) e delle Squadre di azione patriottica (SAP). Il 25 aprile 1945 il Comitato di Liberazione Nazionale, che aveva la propria sede regionale presso la conceria Fiorio, proclamò l'ordine di insurrezione generale e con esso i Partigiani presero il controllo della città ponendo fine all'occupazione nazifascista. Alcuni giorni dopo, il 3 maggio, giunsero anche le prime truppe alleate."
Città di Torino,"Aeroporto di Torino, Via Santa Lucia, Santa Lucia, Malanghero, San Maurizio Canavese, Torino, Piemonte, 10077, Italia",aeroway,aerodrome,0.652805933283467,"Il numero di immigrati fu tanto consistente che il sindaco Diego Novelli (1975–1985) definì Torino ""la terza città meridionale d'Italia per popolazione dopo Napoli e Palermo"" . Lo stemma della Città di Torino, approvato dallo Stato con decreto dell'11 agosto 1931, è costituito da uno scudo svizzero azzurro a cui è sovrapposto un toro rampante d'oro, con le corna d'argento e con la corona comitale a nove perle. La città di Torino è la quinta tra le ventisette Città decorate di medaglia d'oro come ""benemerite del Risorgimento nazionale"" per le azioni patriottiche che ebbero luogo nella città nel periodo del Risorgimento:"
Città di Torino,"Aeroporto di Torino, Via Santa Lucia, Santa Lucia, Malanghero, San Maurizio Canavese, Torino, Piemonte, 10077, Italia",aeroway,aerodrome,0.652805933283467,"Torino 2008 World Design Capital: la città nel 2008 è stata la prima ""capitale mondiale del design"". Il titolo, conferito a Copenaghen dall'ICSID (International Council of Societies of Industrial Design), è stato creato appositamente per la Città di Torino per riconosciuti meriti e competenze presenti sul territorio. Contemporaneamente a tale occasione, dal 30 giugno al 2 luglio, al Lingotto Fiere si è svolto il ""XXIII congresso mondiale degli architetti"", accompagnato dalla mostra ""Architetture sensibili"", inaugurata il 26 luglio nel Castello di Rivara."
Città di Torino,"Aeroporto di Torino, Via Santa Lucia, Santa Lucia, Malanghero, San Maurizio Canavese, Torino, Piemonte, 10077, Italia",aeroway,aerodrome,0.652805933283467,"Eurovision Song Contest 2022 (10, 12 e 14 Maggio 2022): la Città di Torino ha ospitato l'Eurofestival presso il PalaOlimpico (PalaAlpitour o PalaIsozaki), in seguito alla vittoria dei Måneskin con Zitti e buoni nell'edizione precedente; è stata la terza edizione della manifestazione musicale a svolgersi in Italia, dopo le due edizioni del 1965 e del 1991."
Rinascimento,"Rinascimento, Piazza Ducale, Vigevano, Pavia, Lombardia, 27029, Italia",amenity,restaurant,0.11010000000000002,"La pianta a scacchiera della città odierna però discende principalmente dall'ampliamento avvenuto all'inizio del seicento a opera di Carlo di Castellamonte. La pianta a scacchiera si rifece non all'origina romana, ma ai principi di ordine del Rinascimento ed era intesa a rappresentare il nuovo ordine e potere ducale di Torino, nuova capitale dei duchi di Savoia. Successivi ampliamenti a scacchiera furono eseguiti dal figlio Amedeo di Castellamonte e proseguirono per il resto della storia cittadina."
Corso Vittorio Emanuele,"Corso Vittorio Emanuele, Andezeno, Torino, Piemonte, 10020, Italia",highway,secondary,0.4,"I boulevard di Torino sono suddivisi in due o tre diverse carreggiate: di norma i più antichi, come Corso Vittorio Emanuele, Corso Francia e Corso Regina Margherita, presentano una carreggiata centrale con almeno due corsie per senso di marcia, divisa da alberate dalle altre due carreggiate laterali, dette controviali. I viali torinesi hanno una lunghezza complessiva di 320 km."
Corso Francia,"Corso Francia, Cenisia, Circoscrizione 3, Torino, Piemonte, 10139, Italia",highway,residential,0.3,"I boulevard di Torino sono suddivisi in due o tre diverse carreggiate: di norma i più antichi, come Corso Vittorio Emanuele, Corso Francia e Corso Regina Margherita, presentano una carreggiata centrale con almeno due corsie per senso di marcia, divisa da alberate dalle altre due carreggiate laterali, dette controviali. I viali torinesi hanno una lunghezza complessiva di 320 km."
Corso Francia,"Corso Francia, Cenisia, Circoscrizione 3, Torino, Piemonte, 10139, Italia",highway,residential,0.3,"Torino vanta anche cospicua presenza di edifici Liberty realizzati tra la fine del XIX e l'inizio del XX secolo. Le importanti testimonianze architettoniche di quest'epoca sono ancora percepibili in alcune zone centrali del capoluogo come i quartieri Centro, Crocetta, San Salvario e Borgo Po, ma con un'assoluta predominanza nell'area circostante il primo tratto di Corso Francia, comprendente i quartieri Cit Turin e San Donato. Sull'onda del crescente successo delle edizioni dell'Esposizione internazionale d'arte decorativa moderna (culminato con quella del 1902), Torino venne infatti considerata come una delle capitali del Liberty e vide il proliferare di questo nuovo stile in ambito prevalentemente architettonico, con contributi dei maggiori autori dell'epoca."
Corso Francia,"Corso Francia, Cenisia, Circoscrizione 3, Torino, Piemonte, 10139, Italia",highway,residential,0.3,"Un poliziesco interamente girato a Torino. Sono numerosi i luoghi riconoscibili della città, come Piazza Statuto, Piazza Cavour e Corso Francia. American Gigolò ."
Corso Regina Margherita,"Corso Regina Margherita, Vanchiglia, Circoscrizione 7, Torino, Piemonte, 10153, Italia",highway,primary,0.4,"I boulevard di Torino sono suddivisi in due o tre diverse carreggiate: di norma i più antichi, come Corso Vittorio Emanuele, Corso Francia e Corso Regina Margherita, presentano una carreggiata centrale con almeno due corsie per senso di marcia, divisa da alberate dalle altre due carreggiate laterali, dette controviali. I viali torinesi hanno una lunghezza complessiva di 320 km."
parco archeologico della,"Parco Archeologico Asinino - Anvòia, Via Creelone, Creelone, Ossimo, Comunità montana della valle Camonica, Brescia, Lombardia, 25040, Italia",historic,archaeological_site,0.7688305454085012,"resti di piccolo villaggio celto-ligure databile fra il IV e il III secolo a.C. con emergenze archeologiche di un successivo insediamento tardo-antico e altomedievale; parco archeologico della Porta Palatina e delle mura romane; Porta Decumana, inglobata in Palazzo Madama, e relativi scavi archeologici;"
Porta Decumana,"porta decumana, Breite Straße, Großkrotzenburg, Main-Kinzig-Kreis, Hessen, 63538, Deutschland",historic,ruins,0.2001,"parco archeologico della Porta Palatina e delle mura romane; Porta Decumana, inglobata in Palazzo Madama, e relativi scavi archeologici; resti del teatro romano;"
Porta Decumana,"porta decumana, Breite Straße, Großkrotzenburg, Main-Kinzig-Kreis, Hessen, 63538, Deutschland",historic,ruins,0.2001,"Palazzo Madama e Casaforte degli Acaja, il cui corpo centrale fu costruito fra i secoli XIII e XV in stile gotico ampliando e inglobando la struttura dell'originale Porta Decumana d'epoca romana e conferendo al palazzo l'aspetto di un castello, che verrà completato nei secoli successivi con la facciata settecentesca dello Juvarra; chiesa di San Domenico, situata nell'omonima via; fu edificata nel XIV secolo e rappresenta l'unico monumento completo autenticamente medioevale dell'intera città, pur se modificata in epoca barocca e riportata successivamente alle originali forme gotiche tramite restauri conservativi ottocenteschi;"
Palazzo Madama,"Palazzo Madama, Piazza Castello, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",tourism,attraction,0.6007825531452872,"parco archeologico della Porta Palatina e delle mura romane; Porta Decumana, inglobata in Palazzo Madama, e relativi scavi archeologici; resti del teatro romano;"
