,entity,to_search,snippet,address,coordinates,name_location,class,type
36,Musée d'art spontané,Musée d'art spontané,"[""*...Musée d'art spontané ;...""]","Musée d'art spontané - Museum voor Spontane Kunst, 27, Rue de la Constitution - Grondwetstraat, Quartier Brabant - Brabantwijk, Schaerbeek - Schaarbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1030, Belgio","{""coordinates"": [4.369989, 50.860355], ""type"": ""Point""}","Musée d'art spontané - Museum voor Spontane Kunst, 27, Rue de la Constitution - Grondwetstraat, Quartier Brabant - Brabantwijk, Schaerbeek - Schaarbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1030, Belgio",tourism,museum
37,Musée juif de Belgique,Musée juif de Belgique,['*...Musée juif de Belgique ;...'],"Musée Juif de Belgique - Joods Museum van België, 21, Rue des Minimes - Minimenstraat, Sablon - Zavel, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.353295, 50.840742], ""type"": ""Point""}","Musée Juif de Belgique - Joods Museum van België, 21, Rue des Minimes - Minimenstraat, Sablon - Zavel, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",tourism,museum
38,Musées Royaux des Beaux-Arts de Belgique,Musées Royaux des Beaux-Arts de Belgique,"['...Bibliothèque et centre de documentation des Musées royaux des Beaux-Arts de Belgique ;...', '*...Musées Royaux des Beaux-Arts de Belgique ;...']","Musées royaux des Beaux-Arts de Belgique - Koninklijke Musea voor Schone Kunsten van België, 3, Rue de la Régence - Regentschapsstraat, Quartier Royal - Koninklijke Wijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.358238, 50.84168], ""type"": ""Point""}","Musées royaux des Beaux-Arts de Belgique - Koninklijke Musea voor Schone Kunsten van België, 3, Rue de la Régence - Regentschapsstraat, Quartier Royal - Koninklijke Wijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",tourism,museum
42,Musée Constantin Meunier,Musée Constantin Meunier,['*...Musée Constantin Meunier ;...'],"Musée Meunier Museum, 59, Rue de l'Abbaye - Abdijstraat, Bascule, Ixelles - Elsene, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1050, Belgio","{""coordinates"": [4.367004, 50.819329], ""type"": ""Point""}","Musée Meunier Museum, 59, Rue de l'Abbaye - Abdijstraat, Bascule, Ixelles - Elsene, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1050, Belgio",tourism,museum
45,Musée,Musée,"['...Bibliothèque du Musée des Instruments de Musique ;...', ""...Bibliothèques du Musée royal de l'Afrique Centrale ;..."", ""...Musée communal des Beaux-Arts d'Ixelles ;..."", ""...Musée d'art spontané ;..."", '...Musée juif de Belgique ;...', ""...Musée royal d'art ancien ;..."", ""...Musée royal d'art moderne ;..."", '...Musée Antoine Wiertz ;...', '...Musée Constantin Meunier ;...', '...Musée du jouet ;...', '...Musée du cinéma ;...', '*...Musée Bellevue ;...', '...Musée bruxellois de la gueuze ;...']","Musée Juif de Belgique - Joods Museum van België, 21, Rue des Minimes - Minimenstraat, Sablon - Zavel, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.353295, 50.840742], ""type"": ""Point""}","Musée Juif de Belgique - Joods Museum van België, 21, Rue des Minimes - Minimenstraat, Sablon - Zavel, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",tourism,museum
46,Musée bruxellois de la gueuze,Musée bruxellois de la gueuze,['*...Musée bruxellois de la gueuze ;...'],"Musée Bruxellois de la Gueuze - Brussels Museum van de Geuze, 56, Rue Gheude - Gheudestraat, Cureghem - Kuregem, Anderlecht, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1070, Belgio","{""coordinates"": [4.335805, 50.841549], ""type"": ""Point""}","Musée Bruxellois de la Gueuze - Brussels Museum van de Geuze, 56, Rue Gheude - Gheudestraat, Cureghem - Kuregem, Anderlecht, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1070, Belgio",tourism,museum
50,Palais des beaux-arts de Bruxelles,Palais des beaux-arts de Bruxelles,"[""*...Numerose orchestre e complessi musicali hanno sede a Bruxelles, fra cui l'Orchestra Nazionale del Belgio (con sede nel Palais des beaux-arts de Bruxelles) e La Petite Bande, specializzata nella musica barocca....""]","Bozar, 23, Rue Ravenstein - Ravensteinstraat, Quartier Royal - Koninklijke Wijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio","{""coordinates"": [4.359792, 50.843721], ""type"": ""Point""}","Bozar, 23, Rue Ravenstein - Ravensteinstraat, Quartier Royal - Koninklijke Wijk, Pentagone - Vijfhoek, Bruxelles, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, Belgio",amenity,arts_centre
51,Maison de la Radio,Maison de la Radio,"['*...Brussels Philharmonic (Orchestra della Radio fiamminga), con sede nella Maison de la Radio....']","Maison de la Radio - Radiohuis, Place Sainte-Croix - Heilig-Kruisplein, Flagey, Ixelles - Elsene, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1050, Belgio","{""coordinates"": [4.373074, 50.826946], ""type"": ""Point""}","Maison de la Radio - Radiohuis, Place Sainte-Croix - Heilig-Kruisplein, Flagey, Ixelles - Elsene, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1050, Belgio",building,yes
52,Louvre,Louvre,"['*...Tra le opere più riuscite prodotte nella seconda metà del XV secolo vi fu la Vergine in gloria del 1485, esposta al Louvre e caratterizzata da una composizione simile al trittico....']","Le Louvre, Parvis Saint-Gilles - Sint-Gillisvoorplein, Saint-Gilles - Sint-Gillis, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1060, Belgio","{""coordinates"": [4.344683, 50.830234], ""type"": ""Point""}","Le Louvre, Parvis Saint-Gilles - Sint-Gillisvoorplein, Saint-Gilles - Sint-Gillis, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1060, Belgio",amenity,pub
55,Aeroporto di Bruxelles-Zaventem,Aeroporto di Bruxelles-Zaventem,"[""*...Bruxelles è servita dall'Aeroporto di Bruxelles-Zaventem, situato nella municipalità di Zaventem, e dall'Aeroporto di Charleroi-Bruxelles Sud, posto vicino alla città di Charleroi in Vallonia....""]","Aeroporto di Bruxelles-National, Luchthaven Brussel Nationaal, Zaventem, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1930, Belgio","{""coordinates"": [4.483259, 50.898336], ""type"": ""Point""}","Aeroporto di Bruxelles-National, Luchthaven Brussel Nationaal, Zaventem, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1930, Belgio",aeroway,terminal
57,Lotto Park,Lotto Park,"[""*...Nel calcio la capitale belga è rappresentata dall'Anderlecht, con sede nell'omonima municipalità, che con 34 titoli nazionali è la società più titolata del Belgio e gioca nello Lotto Park (ex stadio Constant Vanden Stock)....""]","Lotto Park, 2, Avenue Théo Verbeeck - Théo Verbeecklaan, Peterbos, Moortebeek, Anderlecht, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1070, Belgio","{""coordinates"": [4.297855, 50.83402], ""type"": ""Point""}","Lotto Park, 2, Avenue Théo Verbeeck - Théo Verbeecklaan, Peterbos, Moortebeek, Anderlecht, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1070, Belgio",leisure,stadium
59,Joseph Marien,Joseph Marien,"['*...Nata nel 1897, ha vinto per 11 volte il campionato belga e due volte la Coppa del Belgio, e gioca presso lo stadio Joseph Marien....']","Stade Joseph Marien - Joseph Marienstadion, Rue du Stade - Stadionstraat, Altitude Cent - Hoogte Honderd, Forest - Vorst, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1190, Belgio","{""coordinates"": [4.329508, 50.817929], ""type"": ""Point""}","Stade Joseph Marien - Joseph Marienstadion, Rue du Stade - Stadionstraat, Altitude Cent - Hoogte Honderd, Forest - Vorst, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1190, Belgio",leisure,stadium
60,Stade Fallon,Stade Fallon,"['*...La Royal White Star Bruxelles, nata da varie fusioni e scissioni, con sede nella municipalità di Woluwe-Saint-Lambert ma che gioca allo Stade Fallon, è fallita nel 2016....']","Stade Fallon - Fallon Stadion, Chaussée de Stockel - Stokkelsesteenweg, Roodebeek, Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1200, Belgio","{""coordinates"": [4.443176, 50.841144], ""type"": ""Point""}","Stade Fallon - Fallon Stadion, Chaussée de Stockel - Stokkelsesteenweg, Roodebeek, Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1200, Belgio",highway,bus_stop
